nJet,WJetsToLNu_HT400to600,WJetsToLNu_HT600to800,WJetsToLNu_HT800to1200,WJetsToLNu_HT1200to2500,WJetsToLNu_HT2500toInf,TTJets_LO_HT600to800_ext,TTJets_LO_HT800to1200_ext,TTJets_LO_HT1200to2500_ext,TTJets_LO_HT2500toInf_ext,TTJets_SingleLeptonFromTbar,TTJets_SingleLeptonFromT,TTJets_DiLepton
4,0.0393209467,0.0272323062,0.0177001992,0.0087684263,0.0005396205,0.0089970429,0.0035567094,0.0005060009,0,0.0944087729,0.0864839032,0.712481202
5,0.0284855422,0.0195915914,0.012877209,0.0067426675,0.0004207696,0.0154326235,0.00673003,0.001085698,0,0.1569609574,0.1352863245,0.6163712253
6,0.014314847,0.0120305263,0.0098605807,0.0059331532,0.0003753094,0.0258955907,0.0128033809,0.0024547042,0,0.1938666357,0.1781828697,0.5442440524
7,0.0097542035,0.008936859,0.008648677,0.0064779727,0.0003906163,0.0422081092,0.0232468258,0.0050494991,0,0.2183947089,0.197551616,0.4792504171
8,0.0048240949,0.0070202655,0.0090801274,0.0059939744,0.0005318471,0.0676528747,0.0424197306,0.0105443282,0.0002009414,0.2245740092,0.2120488183,0.4151089882
9,0.0014157227,0.0063077199,0.0082818655,0.0090779468,0.0008564938,0.0990932009,0.0707110419,0.0193686292,0.0004191954,0.2163483863,0.1975336255,0.3705861721
10,0.0038883303,0.0067084422,0.0046349292,0.0083103951,0.0009416035,0.1262983948,0.1034350678,0.0311902609,0.0007574964,0.201767102,0.2029849757,0.3090830021
11,0,0,0.0057249229,0.0089345083,0.000696133,0.1476814331,0.1303304233,0.044682228,0.001172488,0.1888598714,0.1717740813,0.3001439107
12,0,0.005799727,0.0065777547,0,0.0009466042,0.1436944653,0.1500899905,0.069101019,0.0017621842,0.1915925395,0.2016279895,0.2288077262
13,0,0,0,0.0483551014,0,0.2643936734,0.3025015649,0.1362573953,0.0044266095,0.1343033401,0,0.1097623154
14,0,0,0,0,0,0.1191630474,0.1881948196,0.1021484957,0.0042135025,0,0.361057267,0.2252228679
